,0,5IAL_3_TT301.50,5IAL_3_QIT301.52,5IAL_3_PIT 301.55,5IAL_3_QIT301.57,5IAL_3_PIT301.60,5IAL_3_FIT301.61MF,5IAL_3_FIT301.61VF,5IAL_3_FIT301.61D,5IAL_3_PIT301.63,5IAL_3_P301.70,5IAL_3_R301.71,5IAL_3_P301.72,5IAL_3_301.BatchName,5IAL_3_XPV301.05,5IAL_3_XPV301.06,5IAL_3_XPV301.08,5IAL_3_XPV301.09,5IAL_3_XPV301.22,5IAL_3_XPV301.35,5IAL_3_XPV301.36,5IAL_3_XPV301.42,5IAL_3_XPV301.43,5IAL_3_XPV301.46,5IAL_3_XPV301.53,5IAL_3_XPV301.54,5IAL_3_XPV301.63,5IAL_3_LSL301.51,5IAL_3_LSL301.53,5IAL_3_GSC301.44,5IAL_3_GSO301.44,5IAL_3_LSL301.64,5IAL_3_LSL301.68,5IAL_3_LSLL301.69,5IAL_3_301.OCCUPIED,5IAL_3_LIT301.54,5IAL_3_LSH301.56,5IAL_3_XPV301.13,5IAL_3_WY301.54
0,2023-04-19 00:01:00,  27.29,   7.80,   0.58, 44684.,  -0.00, 141.43,   6.95, 1.2205,   2.32,   1.99,   0.00,   0.00,IU7012310803,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  28.43,   0,   1.97, 2049.7
1,2023-04-19 00:02:00,  27.32,   7.80,   0.58, 44671.,  -0.00, 143.58,   7.06, 1.2209,   2.32,   1.95,   0.00,   0.00,IU7012310803,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  21.08,   0,   2.01, 2049.7
2,2023-04-19 00:03:00,  27.33,   7.79,   0.57, 44690.,  -0.00, 142.56,   7.01, 1.2209,   2.32,   2.03,   0.00,   0.00,IU7012310803,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   7.36,   0,   1.97, 2049.7
3,2023-04-19 00:04:00,  27.29,   7.15,   0.48, 767.03,  -0.00, 78.497,   3.86, .72205,   2.32,   1.99,   0.00,   0.00,IU7012310803,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   0.26,   0,   2.01, 1387.8
4,2023-04-19 00:05:00,  26.59,   6.47,   0.08, 711.05,   0.00,  0.000,   0.00, .00418,   2.32,   0.03,   0.00,   7.64,IU7012310803,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   0,   1,   0,   0,   0,   1,   1.39,   0,   0.03,   0.00
5,2023-04-19 00:06:00,  26.45,   6.21,   0.06, 684.66,   0.00,  0.000,   0.00, .00228,   2.32,   0.03,   0.00,   0.00,IU7012310803,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   1,   1.65,   0,   0.03,   0.00
6,2023-04-19 00:07:00,  26.32,   6.38,   0.06, 665.14,   0.00,  0.000,   0.00, .00147,   2.32,   0.03,   0.00,   0.00,,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   3.75,   0,   0.03,   0.00
7,2023-04-19 00:08:00,  26.26,   6.40,   0.05, 649.91,   0.00,  0.000,   0.00, .00143,   2.32,   0.03,   0.00,   0.00,,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   4.47,   0,   0.03,   0.00
8,2023-04-19 00:09:00,  26.17,   6.42,   0.05, 632.01,   0.00,  0.000,   0.00, .00133,   2.32,   0.03,   0.00,   0.00,,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   4.78,   0,   0.03,   0.00
9,2023-04-19 00:10:00,  26.09,   6.44,   0.05, 616.56,   0.00,  0.000,   0.00, .00130,   2.32,   0.03,   0.00,   0.00,,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   4.82,   0,   0.03,   0.00
