,0,5IAL_3_TT301.50,5IAL_3_QIT301.52,5IAL_3_PIT 301.55,5IAL_3_QIT301.57,5IAL_3_PIT301.60,5IAL_3_FIT301.61MF,5IAL_3_FIT301.61VF,5IAL_3_FIT301.61D,5IAL_3_PIT301.63,5IAL_3_P301.70,5IAL_3_R301.71,5IAL_3_P301.72,5IAL_3_301.BatchName,5IAL_3_XPV301.05,5IAL_3_XPV301.06,5IAL_3_XPV301.08,5IAL_3_XPV301.09,5IAL_3_XPV301.22,5IAL_3_XPV301.35,5IAL_3_XPV301.36,5IAL_3_XPV301.42,5IAL_3_XPV301.43,5IAL_3_XPV301.46,5IAL_3_XPV301.53,5IAL_3_XPV301.54,5IAL_3_XPV301.63,5IAL_3_LSL301.51,5IAL_3_LSL301.53,5IAL_3_GSC301.44,5IAL_3_GSO301.44,5IAL_3_LSL301.64,5IAL_3_LSL301.68,5IAL_3_LSLL301.69,5IAL_3_301.OCCUPIED,5IAL_3_LIT301.54,5IAL_3_LSH301.56,5IAL_3_XPV301.13,5IAL_3_WY301.54
0,2023-04-20 00:01:00,  25.50,  12.32,   0.50, 10036.,   0.00, 131.17,   7.60, 1.0353,   2.22,   1.98, 311.08,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  14.49,   0,   1.95, 194.19
1,2023-04-20 00:02:00,  26.44,  12.08,   0.52, 6672.9,   0.00, 132.12,   7.53, 1.0533,   2.22,   1.83, 316.90,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  16.80,   0,   2.08, 220.22
2,2023-04-20 00:03:00,  27.03,  11.90,   0.54, 4808.2,   0.00, 132.06,   7.42, 1.0679,   2.22,   1.98, 321.60,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  18.72,   0,   2.08, 246.21
3,2023-04-20 00:04:00,  27.33,  11.75,   0.59, 3631.5,   0.00, 130.24,   7.24, 1.0790,   2.22,   1.96, 326.95,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  20.81,   0,   2.01, 274.43
4,2023-04-20 00:05:00,  27.04,  11.57,   0.60, 2732.1,   0.00, 129.67,   7.17, 1.0848,   2.22,   1.97, 334.06,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  23.71,   0,   2.01, 321.38
5,2023-04-20 00:06:00,  26.85,  11.37,   0.61, 1984.8,   0.00, 129.11,   7.12, 1.0887,   2.22,   2.04, 340.34,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  26.20,   0,   2.05, 368.36
6,2023-04-20 00:07:00,  26.71,  11.16,   0.62, 1425.4,   0.00, 128.84,   7.08, 1.0922,   2.22,   2.01, 346.04,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  28.48,   0,   1.96, 415.34
7,2023-04-20 00:08:00,  26.60,  10.91,   0.63, 1005.9,   0.00, 128.84,   7.06, 1.0950,   2.22,   1.99, 351.75,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  30.78,   0,   2.02, 462.37
8,2023-04-20 00:09:00,  26.51,  10.61,   0.64, 696.83,   0.00, 127.66,   6.98, 1.0970,   2.22,   1.98, 357.53,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  33.11,   0,   2.01, 509.37
9,2023-04-20 00:10:00,  26.42,  10.29,   0.66, 510.48,   0.00, 130.00,   7.10, 1.0989,   2.22,   1.72, 363.22,   0.00,YD112310906,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  35.34,   0,   2.02, 556.40
