,0,5IAL_3_TT301.50,5IAL_3_QIT301.52,5IAL_3_PIT 301.55,5IAL_3_QIT301.57,5IAL_3_PIT301.60,5IAL_3_FIT301.61MF,5IAL_3_FIT301.61VF,5IAL_3_FIT301.61D,5IAL_3_PIT301.63,5IAL_3_P301.70,5IAL_3_R301.71,5IAL_3_P301.72,5IAL_3_301.BatchName,5IAL_3_XPV301.05,5IAL_3_XPV301.06,5IAL_3_XPV301.08,5IAL_3_XPV301.09,5IAL_3_XPV301.22,5IAL_3_XPV301.35,5IAL_3_XPV301.36,5IAL_3_XPV301.42,5IAL_3_XPV301.43,5IAL_3_XPV301.46,5IAL_3_XPV301.53,5IAL_3_XPV301.54,5IAL_3_XPV301.63,5IAL_3_LSL301.51,5IAL_3_LSL301.53,5IAL_3_GSC301.44,5IAL_3_GSO301.44,5IAL_3_LSL301.64,5IAL_3_LSL301.68,5IAL_3_LSLL301.69,5IAL_3_301.OCCUPIED,5IAL_3_LIT301.54,5IAL_3_LSH301.56,5IAL_3_XPV301.13,5IAL_3_WY301.54
0,2023-04-24 12:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-04-24 12:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-04-24 12:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-04-24 12:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-04-24 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-04-24 12:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-04-24 12:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-04-24 12:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-04-24 12:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-04-24 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023-04-24 12:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2023-04-24 12:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2023-04-24 12:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2023-04-24 12:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2023-04-24 12:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2023-04-24 12:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2023-04-24 12:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2023-04-24 12:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2023-04-24 12:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2023-04-24 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2023-04-24 12:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2023-04-24 12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2023-04-24 12:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2023-04-24 12:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2023-04-24 12:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2023-04-24 12:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2023-04-24 12:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2023-04-24 12:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2023-04-24 12:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2023-04-24 12:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2023-04-24 12:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2023-04-24 12:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2023-04-24 12:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2023-04-24 12:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2023-04-24 12:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2023-04-24 12:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2023-04-24 12:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2023-04-24 12:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2023-04-24 12:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2023-04-24 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2023-04-24 12:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2023-04-24 12:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2023-04-24 12:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2023-04-24 12:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2023-04-24 12:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2023-04-24 12:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2023-04-24 12:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2023-04-24 12:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2023-04-24 12:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2023-04-24 12:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2023-04-24 12:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2023-04-24 12:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2023-04-24 12:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2023-04-24 12:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2023-04-24 12:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
