,5IAL_3_TT301.50,5IAL_3_QIT301.52,5IAL_3_PIT 301.55,5IAL_3_QIT301.57,5IAL_3_PIT301.60,5IAL_3_FIT301.61MF,5IAL_3_FIT301.61VF,5IAL_3_FIT301.61D,5IAL_3_PIT301.63,5IAL_3_P301.70,5IAL_3_R301.71,5IAL_3_P301.72,5IAL_3_XPV301.05,5IAL_3_XPV301.06,5IAL_3_XPV301.08,5IAL_3_XPV301.09,5IAL_3_XPV301.22,5IAL_3_XPV301.35,5IAL_3_XPV301.36,5IAL_3_XPV301.42,5IAL_3_XPV301.43,5IAL_3_XPV301.46,5IAL_3_XPV301.53,5IAL_3_XPV301.54,5IAL_3_XPV301.63,5IAL_3_LSL301.51,5IAL_3_LSL301.53,5IAL_3_GSC301.44,5IAL_3_GSO301.44,5IAL_3_LSL301.64,5IAL_3_LSL301.68,5IAL_3_LSLL301.69,5IAL_3_301.OCCUPIED,5IAL_3_LIT301.54,5IAL_3_LSH301.56,5IAL_3_XPV301.13,5IAL_3_WY301.54
mean,27.551459944868395,8.749495930296968,0.4797420675003747,3687.416250138481,0.00012062482486265975,99.803287375123,10.910976989397264,0.9893968969247511,2.171793667033776,1.419870707913275,296.24257065773446,0.057541430163374624,0.0,0.0,0.0,0.0,0.0,1.3033476484350054e-05,0.0,0.0,0.0,0.0,0.0031019674032753126,0.0010882952864432294,0.009103883324318511,0.0858515096024138,0.08143316107421913,0.9164684492118005,0.08343379971456687,0.0001955021472652508,0.010785201790799668,0.0014206489367941558,0.996761181093639,67.18581253950774,0.0,1.4186626349779412,1364.9104763083978
std,2.8696655941089735,1.359666853030617,0.355841700096598,11843.182550283593,0.0013128075795076823,64.90055323790904,466.82282261260343,0.3044132878829629,0.11978391979518559,0.9049671894636859,261.4059607990874,0.6502274407678666,0.0,0.0,0.0,0.0,0.0,0.003610167117024461,0.0,0.0,0.0,0.0,0.055608859020018137,0.032971364846099895,0.0949789588946998,0.2801446553146361,0.27349917980045907,0.2766839908834842,0.27653679823792265,0.013980841397274379,0.10329027646951174,0.03766471416850106,0.05681838574301313,32.281603021436986,0.0,0.9043222988062961,645.6013676196619
